Date,Removed,Modified,Added
2020-01-01,62,98,3
2020-01-02,31,97,19
2020-01-03,36,72,36
2020-01-04,93,67,59
2020-01-05,72,44,78
2020-01-06,51,81,19
2020-01-07,96,16,45
2020-01-08,63,96,50
2020-01-09,19,82,85
2020-01-10,0,0,85
2020-01-11,6,82,28
2020-01-12,28,42,40
2020-01-13,18,61,81
2020-01-14,81,92,81
2020-01-15,41,93,75
2020-01-16,32,41,36
2020-01-17,65,39,66
2020-01-18,8,15,66
2020-01-19,42,4,15
2020-01-20,89,17,1
2020-01-21,66,40,40
2020-01-22,41,44,17
2020-01-23,63,58,15
2020-01-24,89,51,3
2020-01-25,1,34,88
2020-01-26,47,69,12
2020-01-27,42,93,33
2020-01-28,45,70,29
2020-01-29,67,19,13
2020-01-30,56,43,25
2020-01-31,66,70,9
2020-02-01,59,66,54
2020-02-02,53,79,13
2020-02-03,17,24,43
2020-02-04,64,77,82
2020-02-05,12,56,88
2020-02-06,3,84,21
2020-02-07,61,89,24
2020-02-08,73,68,46
2020-02-09,99,96,21
2020-02-10,60,5,50
2020-02-11,36,22,36
2020-02-12,64,26,5
2020-02-13,5,26,56
2020-02-14,29,41,80
2020-02-15,75,22,96
2020-02-16,22,2,5
2020-02-17,75,87,45
2020-02-18,34,57,5
2020-02-19,4,23,29
2020-02-20,10,14,3
2020-02-21,39,71,38
2020-02-22,82,15,46
2020-02-23,97,84,5
2020-02-24,34,91,68
2020-02-25,26,41,41
2020-02-26,61,39,59
2020-02-27,79,46,84
2020-02-28,11,57,2
2020-02-29,75,83,96
2020-03-01,15,35,56
2020-03-02,94,95,93
2020-03-03,97,23,28
2020-03-04,49,67,92
2020-03-05,67,77,97
2020-03-06,29,70,31
2020-03-07,25,44,8
2020-03-08,39,27,30
2020-03-09,31,65,38
2020-03-10,79,34,38
2020-03-11,50,4,27
2020-03-12,33,88,39
2020-03-13,63,69,56
2020-03-14,74,61,90
2020-03-15,53,98,6
2020-03-16,95,64,95
2020-03-17,14,79,37
2020-03-18,65,75,34
2020-03-19,82,20,15
2020-03-20,23,37,55
2020-03-21,68,38,54
2020-03-22,32,32,33
2020-03-23,15,37,94
2020-03-24,22,70,54
2020-03-25,74,4,54
2020-03-26,71,33,26
2020-03-27,51,86,13
2020-03-28,99,19,6
2020-03-29,39,27,23
2020-03-30,30,44,42
2020-03-31,62,6,60
2020-04-01,30,36,92
2020-04-02,61,68,22
2020-04-03,10,7,90
2020-04-04,2,82,7
2020-04-05,5,26,55
2020-04-06,89,72,55
2020-04-07,55,23,71
2020-04-08,88,22,35
2020-04-09,34,47,45
